edad,frecuenciaCompra,montoPromedio,diasUltimaCompra,satisfaccion,totalHistorico,cantidadProductos,usaTarjeta,recompra
26,7,418779,56,1.1,2931453,1,1,1
25,7,425366,56,4.5,2977562,5,0,1
59,15,127465,48,3.4,1911975,3,1,1
47,7,168164,92,3.5,1177148,13,0,0
61,4,52185,118,4.3,208740,6,0,0
19,19,477052,69,1.8,9063988,1,0,0
21,18,186653,62,1.6,3359754,1,0,0
56,1,183224,179,4.0,183224,10,1,0
29,15,302439,63,2.4,4536585,3,0,0
39,12,400299,179,2.5,4803588,13,1,1
37,10,464618,32,3.9,4646180,9,1,1
47,7,158692,17,1.3,1110844,12,1,1
22,11,401094,144,2.1,4412034,5,1,1
46,3,322689,68,4.0,968067,15,1,1
53,20,471908,155,4.6,9438160,9,0,1
45,4,40156,97,3.4,160624,7,1,0
54,15,393402,77,1.6,5901030,9,1,1
43,10,66159,32,3.0,661590,6,1,1
35,2,458602,26,4.0,917204,6,1,1
46,17,404217,112,2.2,6871689,9,0,0
41,6,21731,6,3.1,130386,11,1,1
38,4,352540,41,4.7,1410160,10,1,1
63,12,101118,119,4.0,1213416,3,0,1
47,10,27541,137,3.7,275410,12,1,0
68,10,337572,89,1.5,3375720,14,1,1
26,8,299348,54,3.5,2394784,3,1,1
28,9,170756,18,4.4,1536804,8,1,1
53,19,206690,150,2.5,3927110,4,0,0
53,10,315838,167,4.1,3158380,2,0,1
68,10,477019,55,1.3,4770190,2,0,0
57,2,111241,146,4.7,222482,9,0,0
56,3,482438,13,4.6,1447314,6,1,1
26,12,336639,101,2.3,4039668,11,0,0
52,12,90884,55,3.5,1090608,12,0,0
32,4,32039,18,4.6,128156,11,1,1
42,6,67693,136,3.8,406158,14,1,1
18,16,474957,14,1.1,7599312,7,1,1
69,5,167049,35,3.9,835245,2,1,0
43,6,353759,7,2.1,2122554,11,0,1
42,1,149041,130,3.2,149041,15,0,0
31,20,33751,59,3.6,675020,10,1,1
58,7,104052,104,1.6,728364,9,0,0
52,6,265975,81,2.1,1595850,11,0,0
48,14,206830,166,1.6,2895620,8,1,1
49,13,309430,53,4.8,4022590,14,0,1
46,1,121248,155,1.7,121248,14,0,0
68,18,82190,1,3.0,1479420,14,0,1
65,7,46682,30,3.4,326774,8,0,0
63,1,135427,164,2.3,135427,15,0,0
50,8,250694,19,1.8,2005552,13,0,1
25,13,220853,88,4.9,2871089,8,0,1
36,7,490683,46,3.1,3434781,7,0,0
45,3,454472,158,2.1,1363416,6,1,0
20,4,294236,26,4.0,1176944,6,1,1
52,16,32278,175,3.4,516448,4,0,0
19,9,58982,91,1.5,530838,4,1,1
67,17,81089,160,4.0,1378513,8,0,1
61,12,368797,114,1.3,4425564,15,0,0
40,20,117833,22,3.6,2356660,9,1,1
25,8,441460,133,4.9,3531680,11,0,1
40,10,455853,17,1.3,4558530,13,0,1
34,15,155008,33,3.7,2325120,15,1,1
56,6,475535,102,2.6,2853210,9,1,1
58,13,11442,49,3.4,148746,3,0,0
45,11,212979,154,3.1,2342769,13,1,1
39,10,57331,160,3.8,573310,3,0,0
24,20,127212,26,3.9,2544240,3,0,1
20,2,64294,30,4.3,128588,7,1,0
59,20,219911,52,1.7,4398220,11,0,0
43,18,206759,120,2.6,3721662,5,1,1
19,5,493009,86,2.3,2465045,15,1,0
25,9,298540,22,3.8,2686860,6,0,1
56,1,423789,54,3.0,423789,1,0,0
22,19,292639,83,3.7,5560141,12,0,0
61,19,251422,93,4.8,4777018,12,0,1
25,8,42233,111,3.0,337864,15,1,1
61,6,59137,50,1.8,354822,11,0,0
42,8,349379,164,3.6,2795032,7,0,0
19,18,433228,171,3.1,7798104,6,1,1
48,1,432607,91,4.0,432607,1,0,0
31,13,379396,42,3.8,4932148,15,1,1
61,10,357430,34,3.1,3574300,6,1,1
58,5,280351,139,4.9,1401755,1,1,1
20,14,328080,90,3.5,4593120,11,0,0
26,2,183766,40,3.3,367532,5,1,0
66,12,92921,113,2.3,1115052,13,0,0
30,17,484304,60,4.7,8233168,14,1,1
21,20,198451,27,3.6,3969020,8,0,1
36,8,450375,121,4.8,3603000,5,1,1
32,20,357770,152,1.1,7155400,6,0,0
42,19,86538,88,4.9,1644222,1,0,1
40,1,320644,119,2.3,320644,13,1,0
37,9,217297,1,1.5,1955673,4,1,1
41,10,86187,3,2.0,861870,2,1,1
66,10,216838,150,2.9,2168380,14,0,0
26,17,370151,117,3.1,6292567,4,0,0
42,16,56688,62,4.1,907008,13,1,1
49,7,300675,83,4.1,2104725,10,0,1
51,5,310146,176,2.5,1550730,12,1,0
25,10,288392,28,4.6,2883920,14,0,1
46,7,165517,85,1.7,1158619,13,1,1
64,3,171289,126,3.8,513867,8,1,0
69,7,55136,177,2.7,385952,9,1,1
41,6,193706,3,4.8,1162236,5,1,1
57,8,414444,125,1.1,3315552,12,0,0
64,3,317167,14,2.8,951501,12,0,0
36,18,265720,25,4.6,4782960,3,1,1
66,13,215982,14,3.1,2807766,14,0,1
45,20,106054,122,1.7,2121080,9,0,0
43,4,315750,153,3.5,1263000,14,1,0
68,20,127393,116,3.8,2547860,2,0,0
67,1,334310,96,2.0,334310,2,0,0
30,16,123238,84,1.7,1971808,9,1,1
26,20,171830,108,3.1,3436600,7,0,0
48,20,447520,87,2.4,8950400,11,1,1
57,17,401653,118,3.1,6828101,7,1,1
58,7,18301,167,3.9,128107,12,1,0
59,13,496096,17,1.4,6449248,14,1,1
56,4,478764,126,3.6,1915056,10,1,0
48,3,113834,26,1.4,341502,9,0,0
23,14,215385,157,4.7,3015390,2,1,1
58,3,432772,135,1.2,1298316,6,1,0
54,14,181898,11,4.8,2546572,15,0,1
30,13,355271,58,1.3,4618523,10,0,0
66,4,406910,26,1.9,1627640,4,1,1
67,14,77861,83,1.0,1090054,3,0,0
50,4,132454,22,3.0,529816,6,1,1
26,15,222524,169,2.6,3337860,9,0,0
35,2,370095,179,4.7,740190,4,0,0
44,15,20673,111,2.6,310095,3,0,0
34,9,168579,130,1.8,1517211,6,0,0
48,3,342901,152,1.7,1028703,3,1,0
51,9,223693,36,4.2,2013237,6,0,1
49,12,220981,110,3.8,2651772,6,0,0
42,18,105793,100,3.3,1904274,11,0,0
66,14,232044,62,3.3,3248616,15,0,0
64,7,484895,156,4.6,3394265,15,0,1
41,3,340865,166,2.7,1022595,14,1,0
57,4,246541,120,3.2,986164,10,0,0
22,9,72051,137,1.0,648459,14,0,0
21,12,286979,29,4.8,3443748,12,1,1
68,9,407457,107,1.5,3667113,6,1,1
36,9,7878,154,2.0,70902,11,0,0
28,1,8099,122,4.8,8099,6,1,0
58,16,356727,61,5.0,5707632,15,0,1
24,16,325168,63,4.8,5202688,10,0,1
26,11,269047,47,1.9,2959517,13,0,0
38,20,462824,7,1.4,9256480,3,1,1
19,12,470186,140,1.2,5642232,1,0,0
39,11,242966,5,1.3,2672626,8,1,1
43,13,383453,131,4.5,4984889,15,0,1
33,12,109013,56,2.3,1308156,14,1,1
34,20,118168,19,2.6,2363360,6,0,1
53,3,300165,42,1.7,900495,6,1,0
21,12,426307,138,1.7,5115684,1,1,1
33,17,174023,18,3.8,2958391,9,1,1
49,6,244608,84,1.7,1467648,7,0,0
21,10,351691,23,4.6,3516910,15,0,1
31,2,114065,6,3.3,228130,7,1,0
47,11,69209,130,3.8,761299,13,0,0
29,8,64264,80,2.0,514112,8,1,1
70,3,363073,132,4.5,1089219,5,1,1
67,19,231180,97,4.3,4392420,6,1,1
70,17,211851,109,1.0,3601467,1,1,1
21,16,334493,21,1.3,5351888,3,0,1
50,10,133466,104,1.9,1334660,13,1,1
26,19,472813,146,3.7,8983447,1,1,1
25,7,59142,132,1.2,413994,2,1,1
47,20,249619,8,3.7,4992380,9,1,1
40,19,217849,33,2.9,4139131,12,0,0
60,2,22324,85,4.4,44648,6,1,0
36,5,367386,19,1.1,1836930,10,1,1
35,12,442610,27,4.3,5311320,14,1,1
27,20,223501,145,4.1,4470020,10,0,1
67,4,103487,132,4.1,413948,1,1,1
41,7,208555,48,4.6,1459885,12,0,1
67,18,198593,146,4.0,3574674,4,0,1
62,15,134186,61,1.3,2012790,12,1,1
61,15,344100,72,4.8,5161500,13,1,1
24,17,454938,81,2.9,7733946,9,1,1
24,12,17952,65,4.2,215424,12,0,0
46,14,333015,12,2.1,4662210,8,1,1
33,12,55099,17,3.0,661188,7,0,1
37,10,195581,102,2.2,1955810,2,0,0
47,14,384286,6,1.0,5380004,10,1,1
55,20,41236,66,4.1,824720,7,0,1
49,11,82143,77,4.7,903573,10,1,1
34,12,55481,25,1.5,665772,14,1,1
25,18,475451,71,1.8,8558118,5,0,0
70,17,373190,2,4.4,6344230,9,1,1
60,6,395873,17,3.5,2375238,4,0,1
33,7,162178,22,4.1,1135246,3,0,1
53,20,415805,145,4.1,8316100,1,0,1
41,20,375119,120,2.1,7502380,3,0,0
50,15,322778,27,4.8,4841670,15,0,1
47,11,490593,2,2.5,5396523,14,1,1
38,4,330172,138,4.8,1320688,4,1,1
19,8,223726,91,2.9,1789808,14,1,1
54,12,11298,68,3.8,135576,11,0,0
60,4,294962,48,3.6,1179848,5,1,0
24,19,408347,94,4.7,7758593,9,0,1
24,9,26798,163,3.7,241182,9,0,0
27,5,128076,31,4.0,640380,3,1,1
29,10,133123,116,4.1,1331230,13,0,1
50,8,382092,131,3.3,3056736,8,1,1
33,18,78578,31,4.2,1414404,9,0,1
34,13,256329,153,4.3,3332277,2,0,1
55,8,104616,151,4.9,836928,15,1,1
67,5,374140,55,3.9,1870700,8,0,0
38,13,96661,97,2.5,1256593,3,1,1
48,13,387138,8,4.1,5032794,6,0,1
36,18,197393,144,1.3,3553074,4,0,0
44,12,77472,165,1.9,929664,8,1,1
31,14,117529,41,3.7,1645406,15,1,1
53,13,327571,141,1.3,4258423,8,0,0
49,2,220723,33,3.9,441446,4,1,0
31,7,329880,79,4.9,2309160,15,0,1
32,20,470232,65,2.7,9404640,9,0,0
55,14,258291,53,2.3,3616074,3,1,1
18,5,44291,153,3.8,221455,7,0,0
21,15,194290,156,3.1,2914350,7,0,0
49,11,297201,14,1.7,3269211,8,1,1
49,17,143442,46,3.1,2438514,9,1,1
33,2,345966,170,1.9,691932,7,1,0
24,1,218477,113,2.2,218477,3,0,0
48,11,368115,88,2.3,4049265,8,0,0
26,20,400737,78,2.7,8014740,9,0,0
38,6,222088,96,4.6,1332528,14,0,1
40,9,283275,178,1.3,2549475,13,0,0
66,16,255813,52,3.0,4093008,13,0,0
42,1,298362,112,2.9,298362,2,0,0
58,17,380641,66,4.9,6470897,14,0,1
29,14,303636,5,2.4,4250904,10,1,1
22,16,120335,51,4.3,1925360,7,0,1
49,20,368927,117,4.6,7378540,9,1,1
58,9,220031,6,3.1,1980279,4,0,1
37,7,412883,50,2.0,2890181,11,0,0
28,10,187461,18,4.2,1874610,1,1,1
50,19,302017,112,4.2,5738323,13,1,1
67,8,235942,49,2.4,1887536,5,1,1
42,19,92822,90,2.8,1763618,7,1,1
21,20,169797,176,3.6,3395940,6,1,1
30,5,63831,50,3.6,319155,13,1,0
57,7,31151,85,3.6,218057,1,1,0
53,14,222606,161,4.2,3116484,11,1,1
57,13,192022,80,1.5,2496286,13,0,0
19,11,206707,149,1.4,2273777,5,1,1
25,10,342923,112,3.2,3429230,11,0,0
36,1,331503,84,2.5,331503,9,1,0
40,5,367322,6,1.1,1836610,12,1,1
59,19,356333,62,3.4,6770327,2,1,1
61,3,133090,27,4.4,399270,4,0,1
29,10,384368,93,4.8,3843680,6,1,1
26,6,195825,51,3.1,1174950,2,1,1
31,9,366356,2,1.5,3297204,15,1,1
40,18,122849,138,3.8,2211282,5,1,1
34,2,297486,116,2.7,594972,5,1,0
56,13,484196,129,2.9,6294548,9,0,0
18,3,490296,69,4.5,1470888,14,1,1
55,9,214765,99,3.6,1932885,8,0,0
37,16,439670,64,2.5,7034720,14,0,0
54,15,166104,97,2.2,2491560,1,0,0
65,20,450696,28,1.5,9013920,1,0,1
25,19,134719,101,1.3,2559661,6,1,1
39,18,46435,37,4.5,835830,9,0,1
38,18,351481,157,2.2,6326658,15,1,1
63,4,291088,118,3.3,1164352,10,0,0
35,18,223807,67,4.1,4028526,2,0,1
30,5,439855,31,3.0,2199275,6,1,0
63,3,326473,69,3.9,979419,12,1,0
57,15,36553,37,2.6,548295,9,1,1
47,1,234403,93,1.9,234403,11,1,0
66,12,318614,141,2.8,3823368,5,0,0
20,17,255396,123,2.0,4341732,4,1,1
65,9,285659,59,4.5,2570931,15,1,1
51,12,173686,144,4.5,2084232,2,0,1
65,14,107460,76,2.2,1504440,14,0,0
68,3,342058,106,2.4,1026174,8,0,0
27,20,376615,25,3.8,7532300,13,1,1
30,17,47140,113,2.8,801380,6,1,1
19,12,399738,7,4.8,4796856,4,0,1
70,10,476041,155,3.1,4760410,15,1,1
70,5,133173,148,3.4,665865,6,1,0
25,13,25569,170,1.8,332397,10,0,0
42,5,373199,10,3.4,1865995,15,0,0
55,18,319639,103,3.0,5753502,9,0,0
61,18,269511,26,3.2,4851198,9,0,1
30,4,323969,83,2.4,1295876,10,0,0
25,12,497742,144,2.7,5972904,7,1,1
40,18,37534,148,4.5,675612,13,0,1
28,1,396541,114,4.2,396541,7,1,1
25,12,56985,100,3.2,683820,13,0,0
39,20,475182,93,1.6,9503640,7,1,1
41,12,41255,28,4.4,495060,2,1,1
50,3,268243,21,2.7,804729,15,0,0
37,7,124435,91,3.6,871045,12,0,0
61,17,128333,13,3.1,2181661,12,0,1
37,19,21203,87,4.4,402857,1,1,1
52,6,270148,151,5.0,1620888,3,0,1
49,7,213739,170,3.7,1496173,5,1,1
28,15,208485,176,3.9,3127275,12,0,0
47,1,309616,54,1.7,309616,12,0,0
18,5,379589,98,2.8,1897945,15,0,0
38,6,134318,54,2.8,805908,11,0,0
29,18,38565,89,3.0,694170,8,0,0
52,17,453546,55,4.7,7710282,12,1,1
66,3,260839,40,1.1,782517,14,1,0
44,17,306872,42,2.0,5216824,12,1,1
39,12,308679,98,3.1,3704148,4,1,1
19,1,167310,60,1.0,167310,12,1,0
53,10,149098,52,1.9,1490980,7,1,1
53,15,196830,22,2.9,2952450,7,1,1
52,6,16194,113,1.9,97164,9,0,0
34,11,262595,170,4.4,2888545,6,0,1
32,13,169352,78,2.2,2201576,7,1,1
64,12,471912,46,1.4,5662944,2,0,0
20,11,366617,162,3.6,4032787,4,1,1
59,8,37855,76,3.8,302840,12,0,0
51,10,49785,146,2.6,497850,4,1,1
34,18,117370,158,2.2,2112660,15,1,1
47,6,55757,18,2.7,334542,7,0,1
53,15,366829,130,4.5,5502435,12,0,1
53,1,102427,4,1.8,102427,12,1,0
60,6,494675,99,2.7,2968050,2,0,0
58,8,58245,134,2.2,465960,9,1,1
46,7,212883,58,2.4,1490181,9,0,0
39,19,239227,77,4.0,4545313,12,1,1
70,7,362301,31,2.7,2536107,14,1,1
70,19,194210,150,1.9,3689990,5,0,0
26,2,58350,79,3.5,116700,15,0,0
48,8,365304,99,4.1,2922432,10,0,1
33,1,106486,21,1.0,106486,5,0,0
56,18,72316,178,1.9,1301688,12,0,0
41,14,17053,144,3.6,238742,12,0,0
51,10,115668,41,3.0,1156680,10,0,0
51,2,439146,126,1.8,878292,10,0,0
21,4,103007,97,3.1,412028,14,0,0
33,20,138121,98,3.8,2762420,10,1,1
45,6,329264,42,4.7,1975584,6,0,1
22,6,100315,11,2.5,601890,14,1,1
23,10,215685,71,2.2,2156850,3,0,0
42,18,135836,31,3.7,2445048,4,1,1
56,12,456795,70,1.5,5481540,9,0,0
28,5,343201,72,4.5,1716005,6,0,0
52,3,457005,139,2.5,1371015,4,1,0
54,3,395532,92,3.6,1186596,6,0,0
28,18,390139,105,1.1,7022502,11,0,0
22,1,297110,140,1.6,297110,5,0,0
68,6,348491,87,2.8,2090946,13,1,1
68,6,195172,113,1.5,1171032,9,1,1
42,2,128823,49,1.6,257646,9,1,0
42,4,235035,19,1.2,940140,11,0,0
29,3,11334,148,1.2,34002,12,1,0
28,5,162277,130,1.6,811385,6,0,0
59,5,308256,157,4.8,1541280,4,1,1
54,7,318657,34,3.3,2230599,2,1,1
34,6,118104,106,4.6,708624,7,1,1
22,11,202322,100,4.8,2225542,15,0,1
50,14,212720,153,4.0,2978080,15,0,1
55,4,195179,60,1.0,780716,6,1,0
31,15,479736,165,4.2,7196040,14,1,1
65,5,285233,104,3.6,1426165,6,0,0
37,3,151708,80,2.6,455124,12,0,0
46,18,378042,150,3.9,6804756,13,0,0
19,16,345322,97,3.1,5525152,13,1,1
42,19,5129,11,2.1,97451,15,0,0
19,7,262618,15,1.3,1838326,15,1,1
45,17,265551,85,1.3,4514367,6,1,1
68,17,386013,123,4.5,6562221,7,1,1
57,18,43102,78,4.4,775836,7,1,1
54,2,408102,135,2.5,816204,11,1,0
54,6,243529,36,4.7,1461174,6,1,1
27,12,165167,27,4.0,1982004,6,1,1
42,7,248678,92,4.5,1740746,14,0,1
30,9,30737,113,2.5,276633,1,0,0
26,5,72437,5,3.6,362185,9,1,1
44,1,6026,145,1.1,6026,2,0,0
68,18,357231,61,3.6,6430158,13,0,0
28,20,427410,61,3.4,8548200,6,1,1
43,11,316513,91,3.8,3481643,4,1,1
63,10,464938,80,3.8,4649380,4,1,1
51,18,463068,159,1.5,8335224,13,0,0
60,16,94036,177,2.6,1504576,9,1,1
48,12,356089,124,2.4,4273068,10,1,1
68,11,470793,168,3.4,5178723,4,0,0
70,20,417329,67,2.5,8346580,10,0,0
49,10,413598,113,2.8,4135980,8,0,0
67,13,126811,161,3.9,1648543,3,0,0
24,3,13948,75,1.3,41844,5,1,0
28,7,405573,143,3.6,2839011,4,0,0
39,10,262110,7,3.6,2621100,13,0,1
52,3,433745,10,2.4,1301235,7,0,0
25,19,149783,104,2.2,2845877,7,1,1
22,2,444516,160,1.6,889032,3,0,0
31,6,139319,38,1.5,835914,10,0,0
47,9,38021,155,2.3,342189,9,0,0
35,15,112557,73,2.1,1688355,7,0,0
64,14,249318,37,3.4,3490452,3,0,0
44,9,443945,136,3.2,3995505,8,0,0
22,11,59942,35,1.9,659362,13,0,0
68,2,56913,99,3.2,113826,5,0,0
51,8,358073,125,2.4,2864584,6,0,0
31,11,424018,157,4.1,4664198,8,0,1
20,14,239014,64,3.4,3346196,4,0,0
26,20,124270,87,4.7,2485400,3,1,1
36,19,88414,167,1.8,1679866,4,0,0
26,4,102691,156,2.2,410764,14,1,0
47,4,32157,78,3.9,128628,10,1,0
60,3,15689,95,3.5,47067,6,0,0
67,17,276019,3,1.7,4692323,4,0,1
62,5,283663,74,3.7,1418315,9,1,0
56,3,121929,19,1.5,365787,9,1,1
32,5,78470,173,4.1,392350,3,0,0
46,5,273117,46,4.5,1365585,14,1,1
70,5,162727,118,2.1,813635,1,1,0
28,20,210283,153,3.3,4205660,11,1,1
63,9,50776,82,3.7,456984,9,1,1
21,6,127833,51,4.3,766998,15,1,1
48,15,214419,126,1.4,3216285,13,0,0
36,9,122996,88,2.5,1106964,6,1,1
47,19,428761,140,1.9,8146459,10,0,0
69,14,446294,13,1.1,6248116,15,1,1
64,20,202307,144,1.0,4046140,12,0,0
22,11,328693,75,2.0,3615623,7,0,0
59,15,465553,51,1.1,6983295,9,1,1
68,12,392489,94,3.4,4709868,2,0,0
68,5,82557,173,1.6,412785,6,1,0
29,12,352319,49,3.7,4227828,6,0,0
66,19,33775,122,3.9,641725,12,0,0
25,5,411037,76,4.8,2055185,9,1,1
67,4,380562,69,1.6,1522248,14,1,0
62,17,467677,90,4.5,7950509,11,0,1
61,16,325402,17,2.3,5206432,13,0,1
21,8,354318,124,2.5,2834544,8,0,0
46,12,202393,124,3.3,2428716,12,0,0
22,3,213340,33,1.3,640020,12,1,0
21,1,310527,155,3.2,310527,11,0,0
27,18,340634,161,2.3,6131412,4,0,0
47,15,456017,116,4.2,6840255,14,0,1
36,17,135641,78,1.9,2305897,8,1,1
63,12,16576,177,4.2,198912,6,1,1
33,8,244356,126,4.9,1954848,7,0,1
49,6,382381,123,2.0,2294286,12,1,1
49,20,448915,143,4.6,8978300,7,0,1
67,3,247970,22,1.2,743910,15,1,1
37,15,364038,70,3.2,5460570,14,1,1
31,2,173211,123,1.2,346422,4,1,0
18,17,210224,32,3.6,3573808,9,1,1
60,7,129441,89,1.0,906087,2,1,1
47,4,270189,137,2.3,1080756,8,0,0
42,13,334159,110,2.0,4344067,13,1,1
19,20,456136,4,1.8,9122720,1,0,1
56,13,99329,130,2.0,1291277,9,1,1
55,1,123897,144,2.2,123897,12,1,0
56,16,348474,19,2.4,5575584,6,0,1
62,3,349880,150,1.8,1049640,4,0,0
51,7,123860,94,2.3,867020,13,0,0
38,7,192540,168,1.1,1347780,1,1,1
41,15,231956,100,3.8,3479340,7,0,0
66,8,116035,152,4.2,928280,9,0,1
18,10,244827,125,1.0,2448270,3,0,0
18,13,183389,56,2.0,2384057,5,1,1
45,9,106883,174,2.3,961947,14,1,1
55,16,480980,124,1.2,7695680,2,0,0
47,16,453298,81,1.3,7252768,9,0,0
22,4,116628,1,1.3,466512,1,1,1
53,11,348530,18,3.7,3833830,13,1,1
52,9,121719,80,1.7,1095471,5,1,1
67,10,437462,16,2.5,4374620,7,1,1
58,12,269906,156,1.2,3238872,14,0,0
40,3,303999,136,3.2,911997,11,0,0
48,15,163352,159,2.7,2450280,11,1,1
52,3,119415,130,4.7,358245,6,0,0
44,5,95862,138,4.1,479310,11,1,1
41,18,52884,42,4.6,951912,9,0,1
27,10,395818,30,1.2,3958180,3,1,1
23,19,397279,151,1.7,7548301,9,0,0
43,19,215971,58,1.5,4103449,13,0,0
62,11,367971,30,4.8,4047681,15,0,1
60,2,281916,68,1.4,563832,7,0,0
47,5,64816,15,5.0,324080,7,0,1
61,9,391456,113,3.6,3523104,2,0,0
42,1,46212,10,3.9,46212,11,0,0
21,12,17614,170,2.6,211368,3,1,0
52,1,110245,97,4.6,110245,7,0,0
47,4,30612,172,4.9,122448,9,1,0
69,19,238543,116,2.2,4532317,2,1,1
49,13,67465,51,3.6,877045,8,1,1
41,9,347460,142,1.8,3127140,6,0,0
25,9,485619,118,1.3,4370571,4,0,0
66,15,176029,13,1.4,2640435,11,0,1
37,20,251359,75,1.7,5027180,10,0,0
44,20,106378,119,2.3,2127560,13,0,0
66,15,195898,30,3.8,2938470,4,0,0
36,17,170771,86,4.6,2903107,8,0,1
47,5,149816,93,2.1,749080,8,0,0
68,16,247643,165,2.8,3962288,1,1,1
40,17,405141,20,4.9,6887397,5,0,1
59,15,40957,31,3.9,614355,11,1,1
22,2,454181,59,2.9,908362,8,1,0
29,20,476183,175,3.5,9523660,15,0,0
69,18,112605,130,2.5,2026890,3,0,0
26,2,170248,132,4.6,340496,11,1,1
37,18,83006,104,2.3,1494108,3,0,0
52,9,148451,141,1.8,1336059,3,0,0
69,4,458590,26,1.6,1834360,13,1,1
30,9,194204,82,3.3,1747836,14,1,1
40,15,394720,73,1.6,5920800,8,1,1
57,20,204350,99,1.2,4087000,12,1,1
54,13,306736,121,2.1,3987568,13,1,1
66,12,331405,147,2.6,3976860,1,0,0
43,18,71132,29,3.3,1280376,3,1,1
70,18,21821,59,2.6,392778,11,0,0
63,5,293343,51,3.8,1466715,12,0,0
70,6,47129,98,3.4,282774,4,0,0
25,7,168094,174,1.8,1176658,6,1,1
27,16,485490,120,4.4,7767840,5,0,1
30,2,165418,31,2.4,330836,3,1,0
46,10,47927,82,4.4,479270,15,0,1
22,3,24337,132,4.9,73011,1,1,0
61,13,71620,116,3.0,931060,4,0,0
20,6,377394,154,4.5,2264364,10,1,1
43,11,208378,118,4.0,2292158,7,1,1
36,18,198583,180,3.3,3574494,6,0,0
52,19,92291,84,1.0,1753529,15,0,0
57,9,334591,42,3.2,3011319,4,1,1
32,20,290877,107,4.4,5817540,13,0,1
58,2,103812,179,4.3,207624,3,0,0
40,18,10788,122,4.0,194184,14,1,1
54,15,82827,168,2.9,1242405,10,1,1
31,7,235225,49,1.3,1646575,7,1,1
29,2,74782,77,3.5,149564,7,1,0
54,6,347285,108,1.1,2083710,14,0,0
45,9,131793,114,1.8,1186137,10,1,1
27,20,208041,1,2.0,4160820,10,0,1
32,4,263733,133,3.4,1054932,2,1,0
42,12,497843,163,3.4,5974116,5,1,1
32,19,240191,128,2.1,4563629,12,0,0
69,17,215174,163,3.0,3657958,4,0,0
48,13,244101,31,2.4,3173313,13,0,0
61,5,376205,23,1.8,1881025,8,1,1
23,17,26984,104,1.9,458728,3,1,1
27,15,210172,72,4.8,3152580,3,0,1
36,2,391418,88,4.8,782836,2,0,0
44,19,396998,147,1.7,7542962,9,0,0
30,13,9308,80,4.5,121004,3,0,0
54,6,306566,56,1.2,1839396,10,1,1
45,17,161122,170,3.0,2739074,9,0,0
24,20,472042,122,3.0,9440840,15,0,0
55,11,309666,55,3.4,3406326,8,1,1
30,2,289918,1,2.7,579836,13,0,0
20,15,338032,100,2.3,5070480,13,0,0
48,10,221156,21,1.5,2211560,10,0,1
48,19,317271,39,3.6,6028149,5,1,1
55,10,19380,7,3.2,193800,8,1,1
28,7,219556,30,1.7,1536892,12,1,1
43,13,75678,99,2.5,983814,6,1,1
70,6,489287,76,2.6,2935722,15,1,1
24,15,119950,102,4.2,1799250,3,0,1
22,17,446256,43,1.4,7586352,1,0,0
36,5,136556,143,4.5,682780,4,0,0
48,10,432596,21,1.0,4325960,12,0,1
48,20,66564,75,2.7,1331280,14,1,1
42,3,361483,88,4.8,1084449,12,0,0
34,17,452849,49,2.5,7698433,7,1,1
62,13,78123,115,1.9,1015599,3,0,0
50,6,270334,17,2.6,1622004,10,0,1
57,19,214618,84,3.8,4077742,15,1,1
24,11,33261,83,2.1,365871,1,0,0
52,11,247436,76,3.9,2721796,4,0,0
70,20,8454,162,1.6,169080,3,0,0
48,12,393512,97,2.5,4722144,5,1,1
59,2,301157,123,2.7,602314,7,0,0
60,18,248805,105,4.1,4478490,2,1,1
47,8,296360,80,2.6,2370880,10,1,1
51,14,63656,89,2.4,891184,7,0,0
66,7,160215,174,3.4,1121505,11,1,1
42,1,407229,65,1.3,407229,12,1,0
41,8,177633,129,4.9,1421064,2,1,1
18,13,77239,122,4.5,1004107,7,0,1
25,20,446656,125,4.7,8933120,9,0,1
37,14,109996,106,3.7,1539944,12,1,1
39,15,451151,11,4.4,6767265,15,1,1
35,9,456727,126,4.9,4110543,5,1,1
38,4,373312,103,2.2,1493248,6,0,0
38,13,322758,174,2.0,4195854,10,1,1
41,5,401541,82,2.4,2007705,1,1,0
55,7,281672,175,3.3,1971704,15,1,1
60,11,343788,110,2.7,3781668,5,0,0
60,18,138693,170,4.1,2496474,3,1,1
27,14,5844,133,4.1,81816,7,1,1
21,9,385033,51,1.8,3465297,11,0,0
37,16,366322,140,4.3,5861152,7,0,1
56,4,196172,136,1.8,784688,15,1,0
68,11,225121,120,1.1,2476331,10,1,1
70,12,143008,164,4.1,1716096,13,0,1
24,15,68614,36,2.8,1029210,13,1,1
50,14,478068,135,3.4,6692952,15,1,1
42,6,230971,95,3.9,1385826,15,0,0
29,5,356115,167,4.0,1780575,3,0,0
34,15,99144,93,3.0,1487160,7,1,1
47,8,70476,92,4.2,563808,4,0,1
46,12,88517,92,3.1,1062204,7,0,0
41,6,388563,19,4.3,2331378,1,1,1
21,9,377200,122,2.0,3394800,11,0,0
46,14,300519,34,3.0,4207266,9,0,0
48,15,491156,120,3.1,7367340,12,1,1
57,5,175666,96,3.5,878330,6,0,0
57,13,129647,56,3.0,1685411,7,0,0
63,16,418148,142,5.0,6690368,13,1,1
53,11,149217,44,2.0,1641387,11,1,1
20,11,496532,32,2.4,5461852,15,0,0
21,10,154288,95,1.1,1542880,11,0,0
